code,name,status,codeforiati:organisation-type-code,codeforiati:hq-country-or-region,codeforiati:organisation-type,codeforiati:registry-identifier
GB-COH-1858644,DAI Europe,active,70,United Kingdom,Private Sector,dai-e
GB-CHC-1087997,Stars Foundation,active,60,United Kingdom,Foundation,starsfoundation
NP-SWC-19336,,active,22,Nepal,National NGO,phase-nepal
NP-DAO-531/062/063,PHASE Nepal,withdrawn,22,Nepal,National NGO,phase-nepal
FR-6,Francia: Ministerio de Asuntos Exteriores y Europa,active,10,France,Government,france
XI-IATI-035026724,Hilfswerk Austria Zimbabwe,active,21,Zimbabwe,International NGO,hwa-zm
IE-CHY-15037,Plan Ireland Charitable Assistance Limited,active,21,Ireland,International NGO,plan_ireland
FR-3,Agencia Francesa de Desarrollo,active,15,France,Other Public Sector,afd
GB-CHC-209131,British Council,active,15,United Kingdom,Other Public Sector,britishcouncil
GB-CHC-1128536,Street Child,active,21,United Kingdom,International NGO,street_child
GB-CHC-1081695,Vision Aid Overseas,active,21,United Kingdom,International NGO,vao
GB-COH-03580586-GEC,Girls’ Education Challenge – Fund Manager PwC,active,70,United Kingdom,Private Sector,gecfundmanagerpwc
GB-COH-07669775,GEMS Education Solutions,active,70,Ghana,Private Sector,mgcubed
US-EIN-54-0536100,ChildFund International,active,21,United States,International NGO,childfund
NP-DAO-DANG-18-046/47,Backward Society Education (BASE),active,22,Nepal,National NGO,base_22
GB-CHC-1104458,Theatre for a Change UK,active,21,United Kingdom,International NGO,tfac
GB-CHC-1093861,International Medical Corps UK,active,21,United Kingdom,International NGO,imc_uk
GB-COH-7557881,Social Impact Lab CIC,active,21,United Kingdom,International NGO,simlab
KE-RCO-270901,Education Development Trust,withdrawn,21,Kenya,International NGO,edt_kenya
GB-CHC-213251,Lepra,active,21,United Kingdom,International NGO,lepra
NL-KVK-51018586,,withdrawn,70,Netherlands,Private Sector,zimmzimm
JO-CCD-50544,Reporteros Árabes para el Periodismo de Investigación,active,80,Jordan,"Academic, Training and Research",arij
NL-KVK-41188664,ICS,active,21,Netherlands,International NGO,ics
DAC-1601,Fundación Bill y Melinda Gates,active,60,United States,Foundation,bmgf
NP-SWC-00589,Shtrii Shakti,active,22,Nepal,National NGO,shtrii_shakti
GB-CHC-1085096,Women and Children First (UK),active,21,United Kingdom,International NGO,wcf
MW-NBM-00139,Theatre for a Change Malawi,active,22,Malawi,National NGO,tfacmalawi
NL-KVK-41166983,Centro para la Cooperación Jurídica Internacional,active,60,Netherlands,Foundation,cilc
GB-CHC-1135156,Tree Aid,active,21,United Kingdom,International NGO,treea
CA-CRA_ARC-119304848,Servicio Universitario Mundial de Canadá,active,21,Canada,International NGO,wusc
GB-CHC-1154085,Exeter Ethiopia Link,active,21,United Kingdom,International NGO,eel
TZ-BRLA-36057,KPMG East Africa,active,70,"Tanzania, United Republic of",Private Sector,kpmgea
GB-CHC-1053389,Viva,active,21,United Kingdom,International NGO,viva
XM-DAC-47111,Fondo de Adaptación,active,40,United States,Multilateral,af
47111,Fondo de Adaptación,withdrawn,40,United States,Multilateral,af
DK-CVR-33985339,Trianglen,active,22,Denmark,National NGO,trianglen
GB-CHC-1094478,Excellent Development,active,21,United Kingdom,International NGO,excellent
GB-CHC-1047501,Acción contra el Hambre Reino Unido,active,21,United Kingdom,International NGO,acf
CA-4,Canadá: Ministerio de Finanzas,active,10,Canada,Government,finance_canada
GB-CHC-1105489,Sabre Education Limited,active,21,United Kingdom,International NGO,sct
