code,name,status,codeforiati:group-code,codeforiati:group-name,codeforiati:category-code,codeforiati:category-name
32261,Carvão,active,320,"Indústria, extractivas, construção",322,Recursos minerais e mineração
32262,Petróleo e gás (montante),active,320,"Indústria, extractivas, construção",322,Recursos minerais e mineração
32263,Metais ferrosos,active,320,"Indústria, extractivas, construção",322,Recursos minerais e mineração
32264,Metais não ferrosos,active,320,"Indústria, extractivas, construção",322,Recursos minerais e mineração
32265,Metais/materiais preciosos,active,320,"Indústria, extractivas, construção",322,Recursos minerais e mineração
32266,Minerais industriais,active,320,"Indústria, extractivas, construção",322,Recursos minerais e mineração
32267,Minerais fertilizantes,active,320,"Indústria, extractivas, construção",322,Recursos minerais e mineração
32268,Minerais dos fundos marinhos,active,320,"Indústria, extractivas, construção",322,Recursos minerais e mineração
32310,Política e gestão administrativa da construção,active,320,"Indústria, extractivas, construção",323,Construção
33110,Política e gestão administrativa do comércio,active,331,Políticas comerciais e regulamentos,331,Políticas comerciais e regulamentos
33120,Facilitação do comércio,active,331,Políticas comerciais e regulamentos,331,Políticas comerciais e regulamentos
33130,Acordos de comércio regional (ACR),active,331,Políticas comerciais e regulamentos,331,Políticas comerciais e regulamentos
33140,Negociações comerciais multilaterais,active,331,Políticas comerciais e regulamentos,331,Políticas comerciais e regulamentos
33150,Ajustes relacionados ao comércio,active,331,Políticas comerciais e regulamentos,331,Políticas comerciais e regulamentos
33181,Educação/formação sobre comércio,active,331,Políticas comerciais e regulamentos,331,Políticas comerciais e regulamentos
33210,Política e gestão administrativa do turismo,active,332,Turismo,332,Turismo
41010,Política e gestão administrativa do ambiente,active,410,Proteção geral do ambiente,410,Proteção geral do ambiente
41020,Proteção da biosfera,active,410,Proteção geral do ambiente,410,Proteção geral do ambiente
41030,Biodiversidade,active,410,Proteção geral do ambiente,410,Proteção geral do ambiente
41040,Preservação da paisagem,active,410,Proteção geral do ambiente,410,Proteção geral do ambiente
41081,Educação/formação sobre ambiente,active,410,Proteção geral do ambiente,410,Proteção geral do ambiente
41082,Investigação ambiental,active,410,Proteção geral do ambiente,410,Proteção geral do ambiente
43010,Ajuda multissetorial,active,430,"Outros, multissetoriais",430,"Outros, multissetoriais"
43030,Desenvolvimento e gestão urbanos,active,430,"Outros, multissetoriais",430,"Outros, multissetoriais"
43040,Desenvolvimento rural,active,430,"Outros, multissetoriais",430,"Outros, multissetoriais"
43050,Desenvolvimento de alternativas não agrícolas,active,430,"Outros, multissetoriais",430,"Outros, multissetoriais"
43060,Redução do risco de catástrofes,active,430,"Outros, multissetoriais",430,"Outros, multissetoriais"
43071,Política e gestão administrativa da segurança alimentar,active,430,"Outros, multissetoriais",430,"Outros, multissetoriais"
43072,Programas de segurança alimentar doméstica,active,430,"Outros, multissetoriais",430,"Outros, multissetoriais"
43073,Segurança e qualidade alimentares,active,430,"Outros, multissetoriais",430,"Outros, multissetoriais"
43081,Educação/formação multissetorial,active,430,"Outros, multissetoriais",430,"Outros, multissetoriais"
43082,Instituições científicas/de investigação,active,430,"Outros, multissetoriais",430,"Outros, multissetoriais"
51010,Ajuda relacionada com o apoio orçamental geral,active,510,Apoio orçamental geral,510,Apoio orçamental geral
52010,Assistência alimentar,active,520,Ajuda alimentar ao desenvolvimento,520,Ajuda alimentar ao desenvolvimento
53030,Apoio à importação (bens de capital),active,530,Outra ajuda por meio de mercadorias,530,Outra ajuda por meio de mercadorias
53040,Apoio à importação (mercadorias),active,530,Outra ajuda por meio de mercadorias,530,Outra ajuda por meio de mercadorias
60010,Ação relacionada com a dívida,active,600,Ação relacionada com a dívida,600,Ação relacionada com a dívida
60020,Perdão de dívida,active,600,Ação relacionada com a dívida,600,Ação relacionada com a dívida
60030,Alívio da dívida multilateral,active,600,Ação relacionada com a dívida,600,Ação relacionada com a dívida
60040,Reescalonamento e refinanciamento,active,600,Ação relacionada com a dívida,600,Ação relacionada com a dívida
60061,Permuta de dívida por desenvolvimento,active,600,Ação relacionada com a dívida,600,Ação relacionada com a dívida
60062,Outras permutas de dívida,active,600,Ação relacionada com a dívida,600,Ação relacionada com a dívida
60063,Recompra de dívida,active,600,Ação relacionada com a dívida,600,Ação relacionada com a dívida
72010,Assistência e serviços de alívio material,active,720,Resposta de emergência,720,Resposta de emergência
72040,Assistência alimentar de emergência,active,720,Resposta de emergência,720,Resposta de emergência
72050,Serviços de coordenação e apoio ao alívio,active,720,Resposta de emergência,720,Resposta de emergência
73010,Reconstrução e reabilitação pós-emergência imediatas,active,730,Ajuda à reconstrução e reabilitação,730,Ajuda à reconstrução e reabilitação
74020,Preparação da resposta contra vários riscos,active,740,Prevenção e preparação contra catástrofes,740,Prevenção e preparação contra catástrofes
91010,Custos administrativos (não atribuíveis a setores),active,910,Custos administrativos dos doadores,910,Custos administrativos dos doadores
93010,Refugiados/requerentes de asilo em países doadores (não atribuíveis a setores),active,930,Refugiados em países doadores,930,Refugiados em países doadores
99810,Setores não especificados,active,998,Não atribuído/não especificado,998,Não atribuído/não especificado
99820,Promoção da conscientização sobre o desenvolvimento (não atribuíveis a setores),active,998,Não atribuído/não especificado,998,Não atribuído/não especificado
