code,status,codeforiati:registry-identifier,codeforiati:organisation-type-code,codeforiati:organisation-type,codeforiati:hq-country-or-region
IN-ITA-1886,active,mia_india,80,"Academic, Training and Research",India
GB-CHC-1121273,active,frankwater,21,International NGO,United Kingdom
GB-COH-3799145,active,coffey,70,Private Sector,United Kingdom
GB-COH-04276635,active,act4africa,21,International NGO,United Kingdom
NL-KVK-41022454,active,redeenkind,21,International NGO,Netherlands
GB-CHC-1096479,active,shelterbox,21,International NGO,United Kingdom
GB-CHC-1108464,active,bauk,21,International NGO,United Kingdom
US-EIN-13-5563422,active,crs,21,International NGO,United States
XM-DAC-41108,active,ifad,40,Multilateral,(No country assigned)
GB-CHC-1001813,active,halo,21,International NGO,United Kingdom
NL-KVK-56484038,active,icco-cooperation,21,International NGO,Netherlands
GB-CHC-1077889,active,pumpaid,21,International NGO,United Kingdom
GB-CHC-328273,active,fh,21,International NGO,United Kingdom
GB-CHC-1126550,active,peas,21,International NGO,United Kingdom
GB-CHC-1122799,active,retrak,21,International NGO,United Kingdom
XM-DAC-30010,active,utd,40,Multilateral,Switzerland
GB-SC-044007,active,bioclimate,21,International NGO,United Kingdom
GB-CHC-220949,active,gb-chc-220949,21,International NGO,United Kingdom
NL-KVK-32108345,active,cfyas,21,International NGO,Netherlands
NL-KVK-27378529,active,rvo,10,Government,Netherlands
NL-KVK-41180500,active,lftwnl,21,International NGO,Netherlands
XM-DAC-47086,active,pidg,40,Multilateral,United Kingdom
GB-CHC-1079599,active,basicneeds,21,International NGO,United Kingdom
GB-CHC-1071660,active,cecily,21,International NGO,United Kingdom
NL-KVK-41150298,active,amrefnl,22,National NGO,Netherlands
XM-DAC-301-2,active,idrccrdi,15,Other Public Sector,Canada
GB-CHC-1000717,active,coda,21,International NGO,United Kingdom
US-EIN-13-3287064,active,interaction,21,International NGO,United States
ZA-ROC-1999/05072/08,active,dthfxx12,80,"Academic, Training and Research",South Africa
GB-CHC-1143852,active,hagar_uk,21,International NGO,United Kingdom
GB-COH-353570,active,water-witness-international,21,International NGO,United Kingdom
NL-KVK-34200988 (deprecated),active,rainfoundation,21,International NGO,Netherlands
