code,name,status,codeforiati:category-name,codeforiati:category-code,codeforiati:group-code,codeforiati:group-name
32162,Industrias forestales,active,Industria,321,320,"Industria, extractivas, construcción"
32163,"Textiles, cuero y sustitutos",active,Industria,321,320,"Industria, extractivas, construcción"
32164,Químicos,active,Industria,321,320,"Industria, extractivas, construcción"
32165,Plantas de fertilizantes,active,Industria,321,320,"Industria, extractivas, construcción"
32166,"Cemento, cal o yeso",active,Industria,321,320,"Industria, extractivas, construcción"
32167,Producción de energía (combustibles fósiles),active,Industria,321,320,"Industria, extractivas, construcción"
32168,Producción farmacéutica,active,Industria,321,320,"Industria, extractivas, construcción"
32169,Industrias metalúrgicas básicas,active,Industria,321,320,"Industria, extractivas, construcción"
32170,Industrias de metales no-ferrosos,active,Industria,321,320,"Industria, extractivas, construcción"
32171,Ingeniería,active,Industria,321,320,"Industria, extractivas, construcción"
32172,Industria de equipos de transporte,active,Industria,321,320,"Industria, extractivas, construcción"
32173,Producción de biocombustibles modernos,active,Industria,321,320,"Industria, extractivas, construcción"
32174,Fabricación de equipos de cocina no contaminantes,active,Industria,321,320,"Industria, extractivas, construcción"
32182,Investigación y desarrollo tecnológicos,active,Industria,321,320,"Industria, extractivas, construcción"
32210,Gestión administrativa y políticas mineras o minerales,active,Industrias extractivas,322,320,"Industria, extractivas, construcción"
32220,Prospección y exploración de minerales,active,Industrias extractivas,322,320,"Industria, extractivas, construcción"
32261,Carbón,active,Industrias extractivas,322,320,"Industria, extractivas, construcción"
32262,Petróleo y gas (exploración y producción),active,Industrias extractivas,322,320,"Industria, extractivas, construcción"
32263,Metales ferrosos,active,Industrias extractivas,322,320,"Industria, extractivas, construcción"
32264,Metales no ferrosos,active,Industrias extractivas,322,320,"Industria, extractivas, construcción"
32265,Metales o materiales preciosos,active,Industrias extractivas,322,320,"Industria, extractivas, construcción"
32266,Minerales industriales,active,Industrias extractivas,322,320,"Industria, extractivas, construcción"
32267,Minerales fertilizantes,active,Industrias extractivas,322,320,"Industria, extractivas, construcción"
32268,Minerales mar adentro,active,Industrias extractivas,322,320,"Industria, extractivas, construcción"
32310,Gestión administrativa y políticas de la construcción,active,Construcción,323,320,"Industria, extractivas, construcción"
33110,Gestión administrativa y políticas del comercio,active,Política y regulación comercial,331,331,Política y regulación comercial
33120,Facilitación del comercio,active,Política y regulación comercial,331,331,Política y regulación comercial
33130,Acuerdos comerciales regionales,active,Política y regulación comercial,331,331,Política y regulación comercial
33140,Negociaciones comerciales multilaterales,active,Política y regulación comercial,331,331,Política y regulación comercial
33150,Ajustes relacionados con el comercio,active,Política y regulación comercial,331,331,Política y regulación comercial
33181,Educación o capacitación en comercio,active,Política y regulación comercial,331,331,Política y regulación comercial
33210,Gestión administrativa y políticas del turismo,active,Turismo,332,332,Turismo
41010,Gestión administrativa y políticas del medio ambiente,active,Protección general medio ambiente,410,410,Protección general medio ambiente
41020,Protección de la biosfera,active,Protección general medio ambiente,410,410,Protección general medio ambiente
41030,Biodiversidad,active,Protección general medio ambiente,410,410,Protección general medio ambiente
41040,Conservación de lugares,active,Protección general medio ambiente,410,410,Protección general medio ambiente
41081,Educación o capacitación ambiental,active,Protección general medio ambiente,410,410,Protección general medio ambiente
41082,Investigación ambiental,active,Protección general medio ambiente,410,410,Protección general medio ambiente
43010,Asistencia multisectorial,active,Otras acciones multisectoriales,430,430,Otras acciones multisectoriales
43030,Desarrollo y administración urbanos,active,Otras acciones multisectoriales,430,430,Otras acciones multisectoriales
43040,Desarrollo rural,active,Otras acciones multisectoriales,430,430,Otras acciones multisectoriales
43050,Desarrollo de alternativas no agrícolas,active,Otras acciones multisectoriales,430,430,Otras acciones multisectoriales
43060,Reducción del riesgo de desastres,active,Otras acciones multisectoriales,430,430,Otras acciones multisectoriales
43071,Gestión administrativa y políticas de la seguridad alimentaria,active,Otras acciones multisectoriales,430,430,Otras acciones multisectoriales
43072,Programas de seguridad alimentaria familiar,active,Otras acciones multisectoriales,430,430,Otras acciones multisectoriales
43073,Inocuidad y calidad alimentarias,active,Otras acciones multisectoriales,430,430,Otras acciones multisectoriales
43081,Educación o capacitación multisectorial,active,Otras acciones multisectoriales,430,430,Otras acciones multisectoriales
43082,Instituciones científicas o de investigación,active,Otras acciones multisectoriales,430,430,Otras acciones multisectoriales
51010,Asistencia relacionada con el apoyo presupuestario general,active,Apoyo presupuestario general,510,510,Apoyo presupuestario general
52010,Asistencia alimentaria,active,Ayuda alimentaria para el desarrollo,520,520,Ayuda alimentaria para el desarrollo
53030,Apoyo a importaciones (bienes de capital),active,Otras ayudas en forma de suministro de bienes,530,530,Otras ayudas en forma de suministro de bienes
53040,Apoyo a importaciones (productos básicos),active,Otras ayudas en forma de suministro de bienes,530,530,Otras ayudas en forma de suministro de bienes
60010,Acciones relativas a la deuda,active,Actividades relacionadas con la deuda,600,600,Actividades relacionadas con la deuda
60020,Condonación de la deuda,active,Actividades relacionadas con la deuda,600,600,Actividades relacionadas con la deuda
60030,Alivio de la deuda multilateral,active,Actividades relacionadas con la deuda,600,600,Actividades relacionadas con la deuda
60040,Reprogramación y refinanciación,active,Actividades relacionadas con la deuda,600,600,Actividades relacionadas con la deuda
60061,Canje de deuda por proyectos de desarrollo,active,Actividades relacionadas con la deuda,600,600,Actividades relacionadas con la deuda
60062,Otros canjes de deuda,active,Actividades relacionadas con la deuda,600,600,Actividades relacionadas con la deuda
60063,Recompra de deuda,active,Actividades relacionadas con la deuda,600,600,Actividades relacionadas con la deuda
72010,Asistencia y servicios de socorro material,active,Ayuda de emergencia,720,720,Ayuda de emergencia
72040,Asistencia alimentaria en emergencias,active,Ayuda de emergencia,720,720,Ayuda de emergencia
72050,Servicios de apoyo y coordinación del socorro,active,Ayuda de emergencia,720,720,Ayuda de emergencia
73010,Reconstrucción y rehabilitación inmediata posemergencias,active,Ayuda a la reconstrucción y a la rehabilitación,730,730,Ayuda a la reconstrucción y a la rehabilitación
74020,Preparación de respuesta multirriesgos,active,Prevención de desastres,740,740,Prevención de desastres
91010,Costos administrativos (no asignable por sectores),active,Costes administrativos donantes,910,910,Costes administrativos donantes
93010,Refugiados o solicitantes de asilo en países donantes (no asignable por sectores),active,Ayuda a refugiados en el país donante,930,930,Ayuda a refugiados en el país donante
99810,Sectores no especificados,active,Sin especificación / no clasificados,998,998,Sin especificación / no clasificados
99820,Sensibilización sobre el desarrollo (no asignable por sectores),active,Sin especificación / no clasificados,998,998,Sin especificación / no clasificados
